********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
elksmwq,P,10/28/2015 17:45,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,0.73,<0> ,0.72,<3> ,7.9,<0> ,19,<0> ,
elksmwq,P,10/28/2015 18:00,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,7.1,<0> ,,<-5> ,,<-1> ,,,0.77,<0> ,0.76,<3> ,7.9,<0> ,15,<0> ,
elksmwq,P,10/28/2015 18:15,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,0.80,<0> ,0.79,<3> ,8.0,<0> ,14,<0> ,
elksmwq,P,10/28/2015 18:30,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,0.86,<0> ,0.85,<3> ,7.9,<0> ,17,<0> ,
elksmwq,P,10/28/2015 18:45,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,7.8,<0> ,,<-5> ,,<-1> ,,,0.94,<0> ,0.92,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/28/2015 19:00,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,7.8,<0> ,,<-5> ,,<-1> ,,,1.00,<0> ,0.98,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/28/2015 19:15,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,7.8,<0> ,,<-5> ,,<-1> ,,,1.06,<0> ,1.04,<3> ,8.0,<0> ,14,<0> ,
elksmwq,P,10/28/2015 19:30,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.1,<0> ,,<-5> ,,<-1> ,,,1.13,<0> ,1.11,<3> ,8.0,<0> ,15,<0> ,
elksmwq,P,10/28/2015 19:45,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,1.21,<0> ,1.19,<3> ,8.0,<0> ,14,<0> ,
elksmwq,P,10/28/2015 20:00,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,1.29,<0> ,1.27,<3> ,8.0,<0> ,11,<0> ,
elksmwq,P,10/28/2015 20:15,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,1.37,<0> ,1.35,<3> ,8.0,<0> ,15,<0> ,
